Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
NODE_1029_length_21483_cov_48.457159_1	-	GT2(253-435)	GT2(252-542)	GT2	3	GT2	-
NODE_1029_length_21483_cov_48.457159_16	-	GT2(9-125)	GT2(10-130)	GT2	3	GT2	-
NODE_1029_length_21483_cov_48.457159_2	-	GH186(30-517)	-	GH186	2	GH186	-
NODE_1029_length_21483_cov_48.457159_5	-	GH1(51-345)	GH1_e19(52-347)	GH1	3	GH1_e19	-
NODE_102_length_72073_cov_14.886709_26	-	AA3_2(2-532)	AA3_e57(3-532)	AA3_2	3	AA3_2	-
NODE_102_length_72073_cov_14.886709_31	-	-	GT2(38-127)	GT2	2	GT2	-
NODE_10302_length_3205_cov_11.535556_3	-	-	-	GH23	1	-	-
NODE_10309_length_3204_cov_2.943474_1	-	CBM73(810-861)	CBM73_e28(811-862)	CBM73	3	CBM73_e28	chitin
NODE_1030_length_21426_cov_142.170044_5	-	-	-	GT4	1	-	-
NODE_103121_length_512_cov_2.678337_1	-	-	-	GH23	1	-	-
NODE_103126_length_512_cov_2.553611_1	-	GH4(2-153)	GH4_e25(1-154)	GH4	3	GH4_e25	-
NODE_103130_length_512_cov_2.494530_2	-	GH19_1(2-64)	GH19_e34(1-67)	-	2	GH19_1	-
NODE_10314_length_3202_cov_4.027963_3	-	-	-	GT1	1	-	-
NODE_10315_length_3202_cov_3.457261_1	3.2.1.20:27;3.2.1.84:26	GH31_1(358-800)	GH31_e39(356-801)	GH31_1+GH31_1	3	GH31_1	alpha-glucan
NODE_10316_length_3201_cov_26.787985_3	-	GH188(7-156)	-	-	1	-	-
NODE_103174_length_512_cov_2.078775_1	-	GH38(10-170)	GH38_e1(11-170)	GH38	3	GH38_e1	-
NODE_1031_length_21401_cov_153.379931_7	-	GT9(104-310)	GT9_e2(106-311)	GT9	3	GT9_e2	-
NODE_103297_length_512_cov_1.367615_1	-	-	-	GH20	1	-	-
NODE_103301_length_512_cov_1.341357_1	-	GH105(2-170)	GH105_e57(1-170)	GH105	3	GH105_e57	-
NODE_103317_length_512_cov_1.247265_1	3.2.1.106:25;3.2.1.-:4	GH63(1-168)	GH63_e12(1-169)	GH63	3	GH63_e12	-;host glycan
NODE_10333_length_3198_cov_11.524976_2	2.4.99.-:2|2.4.99.-:2	GT107(9-314)+GT107(279-665)	GT107_e0(9-314)+GT107_e0(305-669)	GT107	3	GT107_e0|GT107_e0	-
NODE_103390_length_511_cov_3.473684_1	-	-	-	GH20	1	-	-
NODE_10339_length_3196_cov_10.732888_2	2.4.1.-:18	GT56(1-352)	GT56_e0(2-352)	GT56	3	GT56_e0	-
NODE_10339_length_3196_cov_10.732888_3	-	GT120(5-330)	-	GT120	2	GT120	-
NODE_1033_length_21386_cov_13.665698_1	-	-	-	GH103	1	-	-
NODE_1033_length_21386_cov_13.665698_20	-	-	-	GH16	1	-	-
NODE_103409_length_511_cov_2.914474_1	-	CE20(2-90)	-	-	1	-	-
NODE_103410_length_511_cov_2.912281_1	-	GT9(4-97)	GT9_e213(2-98)	-	2	GT9_e213	-
NODE_10342_length_3196_cov_2.940146_1	2.4.2.43:13	GT83(1-231)	GT83_e0(1-224)	GT83	3	GT83_e0	-
NODE_10345_length_3195_cov_3.681847_2	-	-	-	GH85	1	-	-
NODE_103484_length_511_cov_2.078947_1	-	GH132(25-142)	GH132_e1(22-142)	-	2	GH132_e1	beta-glucan
NODE_1034_length_21378_cov_19.733386_11	-	-	-	GH28	1	-	-
NODE_1034_length_21378_cov_19.733386_17	-	-	-	GH27	1	-	-
NODE_10354_length_3193_cov_8.852772_1	-	-	-	GH73	1	-	-
NODE_10360_length_3192_cov_3.763468_1	-	-	-	GH38	1	-	-
NODE_10366_length_3190_cov_9.852313_1	-	AA3_2(3-490)	AA3_e57(3-490)	AA3	3	AA3_2	-
NODE_10367_length_3190_cov_3.948325_2	-|-	GT2(130-301)	GT2(131-405)+GT2(291-549)	GT2	3	GT2|GT2	-
NODE_1036_length_21349_cov_13.430591_9	-	GH24(29-160)	GH24_e190(31-161)	-	2	GH24_e190	peptidoglycan
NODE_10371_length_3188_cov_6.084583_4	-	-	CBM50_e486(109-150)	CBM50	2	CBM50_e486	chitin
NODE_103737_length_510_cov_2.670330_1	3.2.1.113:1	-	CBM32_e90(46-157)	-	1	-	host glycan
NODE_10379_length_3185_cov_3.728115_3	-	-	-	GT0	1	-	-
NODE_103811_length_510_cov_1.876923_1	-	GT25(19-168)	GT25_e93(21-169)	-	2	GT25_e93	-
NODE_10391_length_3181_cov_14.829495_4	-	-	-	PL0	1	-	-
NODE_103950_length_510_cov_0.808791_1	-	-	GT4_e3124(71-169)	-	1	-	-
NODE_103955_length_509_cov_48.821586_1	-	-	AA3_e20(17-166)	-	1	-	-
NODE_103957_length_509_cov_29.700441_1	-	-	-	GT51	1	-	-
NODE_103_length_71972_cov_9.823769_2	-	GT2(8-158)	GT2(9-154)	GT2	3	GT2	-
NODE_103_length_71972_cov_9.823769_43	-	-	GH23_e393(31-144)	-	1	-	-
NODE_103_length_71972_cov_9.823769_66	-	-	AA2_e1(98-195)	AA0	2	AA2_e1	lignin
NODE_103_length_71972_cov_9.823769_7	-	-	GH24_e77(4-137)	-	1	-	peptidoglycan
NODE_103_length_71972_cov_9.823769_70	-	-	-	CE4	1	-	-
NODE_104007_length_509_cov_2.773128_1	-	-	-	GH15	1	-	-
NODE_104060_length_509_cov_2.129956_1	5.4.99.16:7	GH13_16(1-168)	GH13_e0(1-169)	GH13_16	3	GH13_16	alpha-glucan
NODE_10406_length_3178_cov_26.564201_2	-	GH23(68-177)	GH23_e641(62-178)	GH23	3	GH23_e641	-
NODE_10409_length_3178_cov_2.979507_3	-	-	-	GT4	1	-	-
NODE_10409_length_3178_cov_2.979507_4	2.4.1.-:2	GT4(167-313)	GT4_e1251(164-311)	GT4	3	GT4_e1251	-
NODE_104119_length_509_cov_1.775330_1	3.2.1.21:1;3.2.1.85:2;3.2.1.86:10	-	GH1_e13(1-169)	GH1	2	GH1_e13	beta-galactan;beta-glucan
NODE_10412_length_3177_cov_15.178411_2	-	-	-	GH6	1	-	-
NODE_104184_length_509_cov_1.436123_1	-	-	GT2(1-74)	-	1	-	-
NODE_1041_length_21268_cov_43.394145_6	-	-	-	GH3	1	-	-
NODE_104215_length_509_cov_1.253304_1	-	-	GT83_e42(3-168)	GT83	2	GT83_e42	-
NODE_104253_length_508_cov_154.686534_1	-	-	GT2(1-169)	GT2	2	GT2	-
NODE_104254_length_508_cov_138.072848_1	-	-	-	GH23	1	-	-
NODE_104265_length_508_cov_15.565121_1	3.5.1.108:18	CE11(1-166)	CE11_e22(2-167)	CE11	3	CE11_e22	exo-polysaccharide
NODE_1042_length_21240_cov_91.180930_3	-	-	-	GH28	1	-	-
NODE_1042_length_21240_cov_91.180930_8	-	-	-	GH67	1	-	-
NODE_104357_length_508_cov_2.298013_1	2.4.1.227:11	GT28(65-168)	GT28_e46(65-169)	GT28	3	GT28_e46	-
NODE_10435_length_3172_cov_3.776388_1	-	GH132(85-386)	GH132_e0(91-386)	GH132	3	GH132_e0	beta-glucan
NODE_10436_length_3172_cov_3.681745_1	-	-	-	AA2	1	-	-
NODE_104382_length_508_cov_2.097130_1	-	-	-	CBM48+GH13_9	1	-	-
NODE_104441_length_508_cov_1.715232_1	-	-	GH23_e535(17-72)	-	1	-	-
NODE_10444_length_3170_cov_3.605778_2	-	-	-	GT32	1	-	-
NODE_104456_length_508_cov_1.668874_1	3.2.1.4:20;3.2.1.6:1	GH8(1-127)	GH8_e0(1-128)	GH8	3	GH8_e0	beta-glucan;cellulose
NODE_10458_length_3165_cov_127.454662_3	-	-	-	GT33	1	-	-
NODE_104641_length_507_cov_2.484513_1	-	GT71(2-166)	GT71_e41(1-168)	-	2	GT71_e41	-
NODE_1046_length_21186_cov_145.673371_2	-	AA3(6-533)	-	-	1	-	-
NODE_10474_length_3161_cov_3.564070_1	-	GT71(290-460)	GT71_e37(291-467)	GT71	3	GT71_e37	-
NODE_1047_length_21176_cov_42.459306_13	-	GH73(145-268)	GH73_e253(147-269)	GH0	3	GH73_e253	-
NODE_1047_length_21176_cov_42.459306_14	3.2.1.1:1;3.2.1.-:1	GH13_19(225-595)	GH13_e62(226-594)	GH13_19	3	GH13_19	alpha-glucan
NODE_104801_length_507_cov_1.305310_1	-	GH76(1-168)	GH76_e0(1-168)	-	2	GH76_e0	-
NODE_104864_length_506_cov_3.769401_1	-	-	-	GH0	1	-	-
NODE_10486_length_3158_cov_3.028360_1	-	-	-	GH47	1	-	-
NODE_104886_length_506_cov_2.946785_1	-	-	GT2(1-74)	GT0	2	GT2	-
NODE_1048_length_21116_cov_11.143108_5	-	-	GH23_e929(1504-1594)	GH0	2	GH23_e929	-
NODE_10495_length_3155_cov_11.776774_4	-	GH23(24-151)	GH23_e489(32-152)	GH0	3	GH23_e489	-
NODE_104987_length_506_cov_1.800443_1	1.10.3.2:1	AA1_2(2-168)	AA1_e26(2-168)	-	2	AA1_2	lignin
NODE_10498_length_3154_cov_4.148758_1	-	-	-	GH130_3	1	-	-
NODE_104_length_71778_cov_64.708239_25	3.2.1.21:20;3.2.1.-:6	GH3(99-320)	GH3_e1(101-320)	GH3	3	GH3_e1	beta-glucan;xyloglucan
NODE_104_length_71778_cov_64.708239_54	-	-	-	GT4	1	-	-
NODE_104_length_71778_cov_64.708239_61	-	-	-	GT2	1	-	-
NODE_10500_length_3154_cov_3.140691_1	-	GH76(31-408)	GH76_e0(31-404)	GH76	3	GH76_e0	-
NODE_10500_length_3154_cov_3.140691_2	-	GH76(36-352)	GH76_e0(36-353)	GH76	3	GH76_e0	-
NODE_10501_length_3153_cov_4.683990_1	-	-	-	AA2	1	-	-
NODE_1050_length_21109_cov_4.546120_9	-	GT62(358-662)	GT62_e5(360-664)	GT62	3	GT62_e5	-
NODE_10511_length_3150_cov_3.520517_3	-	-	-	GT0	1	-	-
NODE_10511_length_3150_cov_3.520517_4	-	-	-	GT0	1	-	-
NODE_105125_length_505_cov_4.313333_1	-	GT2(11-143)	GT2(12-133)	GT2	3	GT2	-
NODE_1051_length_21087_cov_6.992345_4	-	-	-	GT7	1	-	-
NODE_1051_length_21087_cov_6.992345_7	-	-	-	GH125	1	-	-
NODE_105213_length_505_cov_2.102222_1	-	-	GT4_e3814(29-145)	-	1	-	-
NODE_105228_length_505_cov_2.004444_1	3.2.1.122:13	GH4(3-167)	GH4_e4(4-167)	GH4	3	GH4_e4	sucrose
NODE_105266_length_505_cov_1.784444_1	-	-	GT4_e956(30-116)	-	1	-	-
NODE_105269_length_505_cov_1.717778_1	-	GH51_3(2-167)	GH51_e48(2-167)	GH51_1	3	GH51_3	-
NODE_1052_length_21075_cov_5.559800_12	-	-	-	GH16_22+GH16_22	1	-	-
NODE_1052_length_21075_cov_5.559800_9	-	-	-	GT1	1	-	-
NODE_10533_length_3146_cov_7.916855_1	-	GT4(413-565)	GT4_e2298(419-568)	GT4	3	GT4_e2298	-
NODE_105409_length_504_cov_5.207127_1	-	-	-	CBM50	1	-	-
NODE_105425_length_504_cov_3.407572_1	3.2.1.1:1	GH13_20(57-162)	GH13_e193(58-165)	-	2	GH13_20	alpha-glucan
NODE_10544_length_3144_cov_3.143412_3	-	-	GT4_e2265(307-434)	GT4	2	GT4_e2265	-
NODE_105499_length_504_cov_2.289532_1	2.4.99.-:1	-	GT9_e18(60-167)	GT9	2	GT9_e18	-
NODE_10554_length_3141_cov_4.922878_2	-	-	-	GH72	1	-	-
NODE_105564_length_504_cov_1.817372_1	-	-	-	CBM48+GH13_9	1	-	-
NODE_105632_length_504_cov_1.309577_1	-	-	GT2(17-164)	-	1	-	-
NODE_10565_length_3136_cov_84.837066_2	-	AA3(4-527)	-	-	1	-	-
NODE_105693_length_503_cov_17.477679_1	-	GT2(68-165)	GT2(67-165)	GT2	3	GT2	-
NODE_1056_length_21030_cov_83.993564_34	-	-	GT2(27-361)	GT2	2	GT2	-
NODE_105708_length_503_cov_4.138393_1	-	-	-	GH13_30	1	-	-
NODE_105772_length_503_cov_2.437500_1	2.4.1.-:3	GT71(4-167)	GT71_e39(11-167)	-	2	GT71_e39	-
NODE_1057_length_21016_cov_8.202567_8	-	-	GT2(13-95)	GT2	2	GT2	-
NODE_1057_length_21016_cov_8.202567_9	-	GT2(623-803)	GT2(621-885)	GT2+GT4	3	GT2	-
NODE_105835_length_503_cov_1.866071_1	2.4.1.257:1	GT32(32-112)	GT32_e123(33-113)	-	2	GT32_e123	-
NODE_105844_length_503_cov_1.799107_1	2.4.1.18:166	-	CBM48_e32(44-120)	CBM48+GH13_8	2	CBM48_e32	alpha-glucan
NODE_105868_length_503_cov_1.649554_1	-	-	GT2(31-166)	-	1	-	-
NODE_1058_length_21016_cov_5.517008_8	-	-	-	GT18	1	-	-
NODE_106003_length_502_cov_3.814318_1	-	-	-	GH78	1	-	-
NODE_1060_length_21004_cov_14.437682_1	-	GT2(260-442)	GT2(258-597)	GT2	3	GT2	-
NODE_1060_length_21004_cov_14.437682_12	-	AA3(5-579)	-	-	1	-	-
NODE_10610_length_3124_cov_24.275008_2	-	-	-	GT2	1	-	-
NODE_10610_length_3124_cov_24.275008_3	-	-	-	GT2	1	-	-
NODE_10616_length_3122_cov_20.373003_3	-	-	-	CE11	1	-	-
NODE_106185_length_502_cov_1.664430_1	-	-	-	GT9	1	-	-
NODE_1061_length_20972_cov_5.505331_3	3.2.1.113:99	GH47(72-531)	GH47_e17(72-532)	GH47	3	GH47_e17	host glycan
NODE_106287_length_502_cov_0.957494_1	-	CE1(54-166)	-	-	1	-	-
NODE_1062_length_20968_cov_4.662554_5	3.1.3.12:1	GT20(170-456)	GT20_e19(6-634)	GT20	3	GT20_e19	-
NODE_106328_length_501_cov_9.076233_1	2.4.99.-:1	GT73(2-166)	GT73_e0(2-166)	-	2	GT73_e0	-
NODE_10635_length_3116_cov_3.828161_2	-	-	-	GH2_10+GH2_10	1	-	-
NODE_106414_length_501_cov_2.484305_2	-	-	GT2(7-89)	-	1	-	-
